Pop_ID,Population,Code,seed_zone,treatment,use,block,ID,tag,plant_date,flower_date,death_date,days_until_flower,days_until_mortality ,length_cm_20220323,length_cm_20220608,survival_20220518,survival_20220608,survival_20220608_ex_replacements,notes_20220608,replaced_YorN,Replacement,Notes,length_cm_20220719,survival_20220719,Notes 20220719,flower_Y_N_20220823,phenology_20220823,flower_Y_N_20220909,phenology_20220909,survival_20220909,length_cm_20220915,flower_Y_N_20220915,phenology_20220915,survival_20220915,notes_20220915,flowering_Y_N_20221108,phenology_20221108,survival_20221108,TissueCollected
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_44,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,415,,4/20/22,,,,,10.9,12.3,1,1,1,,,,,28.2,1,,0,2,0,2,1,53,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_24,15 - 20 Deg. F. / 3 - 6 ,wet,field,4,450,,4/20/22,,,,,11.6,19,1,1,1,,,,,36.5,1,,0,2,0,2,1,50.9,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_35,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,469,,4/20/22,,,,,9.9,12.5,1,1,1,,,,,31.8,1,,0,2,0,2,1,53.6,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_05,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,511,,4/20/22,,,,,9.9,13,1,1,1,,,,,28.7,1,,0,2,0,2,1,46.5,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_15,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,520,,4/20/22,,,,,10.3,13.9,1,1,1,,,,,31.2,1,,0,2,0,2,1,54.9,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_45,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,532,68,4/20/22,9/15/22,,148,,10.7,12.6,1,1,1,,,,,30.4,1,,0,2,0,2,1,57,1,3,,,1,3,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_55,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,537,69,4/20/22,,,,,11.4,16,1,1,1,,,,,33.7,1,,0,2,0,2,1,56.7,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_25,15 - 20 Deg. F. / 3 - 6 ,dry,field,5,563,,4/20/22,,,,,11.1,13,1,1,1,,,,,28.5,1,,0,2,0,2,1,55.6,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_16,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,572,72,4/20/22,,,,,8.9,11.6,1,1,1,,,,,37,1,,0,2,0,2,1,62.4,0,2,,,0,2,1,
CO1,ERNA-CO932-290-11,ERNA-CO932-290-11_56,15 - 20 Deg. F. / 3 - 6 ,wet,field,6,580,,4/20/22,9/9/22,,142,,9.5,15.9,1,1,1,,,,,40.3,1,,0,2,1,3,1,57.9,1,3,,,1,5,1,
