Pop_code,Population,Treatment,Block,Code,seed_zone,ID,plant_date,death_date,flower_date,days_until_mortality,days_until_flowering,length_cm_20220531,survival_20220531,Notes,replaced_Y_N,replaced_with_20220606,length_cm 20220627,flowering_Y_N_20220627,phenology_20220627,survival_20220627,notes_20220627,flowering_Y_N_20220701,phenology_20220701,survival_20220701,notes_20220701,flowering_Y_N_20220705,phenology_20220705,num_infl_20220705,survival_20220705,notes_20220705,flowering_Y_N_20220713,phenology_20220713,num_infl_20220713,survival_20220713,notes_20220713,flowering_Y_N_20220718,phenology_20220718,num_infl_20220718,survival_20220718,notes_20220718,flowering_Y_N_20220725,phenology_20220725,num_infl_20220725,survival_20220725,notes_20220725,length_cm_20220801,survival_20220801,flowering_Y_N_20220801,phenology_20220801,num_inf_20220801,notes_20220801,flowering_Y_N_20220809,phenology_20220809,survival_20220809,flowering_Y_N_20220818,phenology_20220818,survival_20220818,notes,flowering_Y_N_20220829,phenology_20220829,survival_20220829,notes _20220829,bagged_20220829,flowering_Y_N_20220915,phenology_20220915,survival_20220915,num_inf_20220927,flowering_Y_N_20220927,phenology_20220927,survival_20220927,notes _20220927,Bagged,NumInf_coll_20220927,NumInf_coll_20221014,NumInf_coll_20221108
CO6,BOGR-CO932-363-CLEARCREEK-17,wet,8,BOGR-CO932-363-CLEARCREEK-17_51,10 - 15 Deg. F. / 3 - 6,64,5/12/22,6/27/22,,46,,5.6,1,,,,15.5,1,3,1,,1,3,1,,1,3,2,1,,1,3,2,1,,1,5,4,1,"1 inf fruit, 2 buds",1,5,7,1,1 inf fruit,29.8,1,1,3,15,"aborted fruit? no inf currently in fruit, some dry but not plump with fruits",1,3,1,1,5,1,,1,5,1,,,1,5,1,,1,5,1,,y,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,dry ,9,BOGR-CO932-363-CLEARCREEK-17_52,10 - 15 Deg. F. / 3 - 6,172,5/12/22,,8/18/22,,98,2.8,1,,,,6.4,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,14.3,1,0,2,,,0,2,1,1,3,1,,1,3,1,,,1,3,1,10,1,5,1,,y,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,dry ,9,BOGR-CO932-363-CLEARCREEK-17_53,10 - 15 Deg. F. / 3 - 6,257,5/12/22,,7/13/22,,62,3.1,1,,,,13.1,0,2,1,,0,2,1,,0,2,,1,,1,3,2,1,7 buds,1,3,18,1,,1,3,29,1,,31,1,1,3,46,,1,3,1,1,3,1,,1,3,1,,,1,5,1,211,1,6,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,dry ,9,BOGR-CO932-363-CLEARCREEK-17_54,10 - 15 Deg. F. / 3 - 6,390,5/12/22,,8/9/22,,89,4.1,1,,,,9.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,9.6,1,0,2,,,1,3,1,1,3,1,,1,3,1,,,1,3,1,6,1,3,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,dry ,9,BOGR-CO932-363-CLEARCREEK-17_55,10 - 15 Deg. F. / 3 - 6,505,5/12/22,,7/18/22,,67,6.3,1,,,,16,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,3 buds,1,3,6,1,,1,3,7,1,,26.7,1,1,3,20,,1,3,1,1,3,1,,1,3,1,,,1,3,1,93,1,3,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,dry ,9,BOGR-CO932-363-CLEARCREEK-17_56,10 - 15 Deg. F. / 3 - 6,607,5/12/22,,7/13/22,,62,5.3,1,,,,10.7,0,2,1,,0,2,1,,0,2,,1,,1,3,3,1,4 buds,1,3,10,1,dried flower came off; eithrr drpped fruit or aborted; took photos,1,3,9,1,,22.3,1,1,6,15,,1,6,1,1,3,1,aborted flowers,1,6,1,,,1,6,1,57,1,5,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,dry ,9,BOGR-CO932-363-CLEARCREEK-17_57,10 - 15 Deg. F. / 3 - 6,787,5/12/22,,7/5/22,,54,6.8,1,,,,16.4,0,2,1,,0,2,1,2 buds,1,3,3,1,4 buds,1,3,10,1,5 buds,1,3,22,1,,1,3,32,1,,37.2,1,1,5,55,,1,3,1,1,3,1,,1,5,1,,,1,5,1,,1,6,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,wet,10,BOGR-CO932-363-CLEARCREEK-17_58,10 - 15 Deg. F. / 3 - 6,875,5/12/22,,8/18/22,,98,4.1,1,,,,6.7,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,11.8,1,0,2,,,0,2,1,1,3,1,,1,3,1,,,1,3,1,,1,5,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,wet,10,BOGR-CO932-363-CLEARCREEK-17_59,10 - 15 Deg. F. / 3 - 6,976,5/12/22,,7/1/22,,50,5.7,1,,,,13.1,0,2,1,bud,1,3,1,"1 inf, 1 bud",1,3,1,1,2 buds,1,3,3,1,,1,3,3,1,,1,3,5,1,,18.1,1,1,3,10,,1,5,1,1,3,1,,1,3,1,,,1,3,1,,1,5,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,wet,10,BOGR-CO932-363-CLEARCREEK-17_49,10 - 15 Deg. F. / 3 - 6,995,5/12/22,,7/5/22,,54,7.7,1,,,,13.2,0,2,1,,0,2,1,,1,3,1,1,,1,3,4,1,1 bud,1,3,8,1,,1,3,12,1,,20.9,1,1,3,22,,1,3,1,1,5,1,,1,5,1,,,1,5,1,,1,5,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,wet,10,BOGR-CO932-363-CLEARCREEK-17_50,10 - 15 Deg. F. / 3 - 6,1084,5/12/22,,7/13/22,,62,4,1,,,,12.4,0,2,1,,0,2,1,,0,2,,1,1 bud,1,3,1,1,3 buds,1,3,5,1,,1,3,10,1,3 aborted,22.7,1,1,3,13,,1,3,1,1,3,1,,1,3,1,,,1,3,1,,1,3,1,,,,,
CO6,BOGR-CO932-363-CLEARCREEK-17,wet,10,BOGR-CO932-363-CLEARCREEK-17_60,10 - 15 Deg. F. / 3 - 6,1100,5/12/22,,8/29/22,,109,3.1,1,,,,4.3,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,5,1,0,2,,,0,2,1,0,2,1,,1,3,1,,,1,3,1,,0,2,1,flower broke off,,,,
NM1,BOGR-CO932-363-CLEARCREEK-17,wet,10,BOGR-NM080-67-CHAVES-16_16,15 - 20 Deg. F. / 3 - 6 ,575,5/12/22,,8/1/22,,81,7.5,1,,,,8.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,13.2,1,1,3,1,,1,3,1,1,3,1,,1,3,1,,,1,3,1,33,1,3,1,,,,,
NM1,BOGR-NM080-67-CHAVES-16,dry ,1,BOGR-NM080-67-CHAVES-16_06,15 - 20 Deg. F. / 3 - 6 ,600,5/12/22,,8/1/22,,81,14,1,,,,21.5,0,2,1,,0,2,1,,0,2,,1,,0,2,,1,,0,2,,1,,0,2,,1,,32.4,1,1,3,1,,0,2,1,1,3,1,,1,3,1,,,1,5,1,99,1,5,1,,,,,
